,LATITUDE,LONGITUDE,DEPTH,START_DATE,END_DATE,OUT_FNAME
0,52.685,-51.9634,240,2020-07-26 00:00:00,2022-12-31 00:00:00,204333_C1_b_240dbar
1,52.747,-51.7108,40,2020-07-25 00:00:00,2022-12-31 00:00:00,204330_C2_b_40dbar
2,52.8132,-51.584,140,2020-07-23 00:00:00,2022-12-31 00:00:00,204331_C3_b_140dbar
3,52.8132,-51.584,440,2020-07-23 00:00:00,2022-12-31 00:00:00,204332_C3_b_440dbar
4,52.8132,-51.584,980,2020-07-23 00:00:00,2022-12-31 00:00:00,204334_C3_b_980dbar
5,59.106,-47.333,100,2020-06-23 00:00:00,2022-09-11 00:00:00,204680_LS8_100dbar
6,59.106,-47.333,1000,2020-06-23 00:00:00,2022-09-11 00:00:00,204675_LS8_1000dbar
7,59.106,-47.333,1400,2020-06-23 00:00:00,2022-09-11 00:00:00,204679_LS8_1400dbar
8,59.106,-47.333,2500,2020-06-23 00:00:00,2022-09-11 00:00:00,204678_LS8_2500dbar
9,59.312,-46.875,100,2020-07-02 00:00:00,2022-09-09 00:00:00,204671_LS7_100dbar
10,59.312,-46.875,500,2020-07-02 00:00:00,2022-09-09 00:00:00,204687_LS7_500dbar
11,59.312,-46.875,1000,2020-07-02 00:00:00,2022-09-09 00:00:00,204686_LS7_1000dbar
12,59.312,-46.875,2000,2020-07-02 00:00:00,2022-09-09 00:00:00,204676_LS7_2000dbar
13,59.456,-46.532,100,2020-07-04 00:00:00,2022-09-07 00:00:00,204672_LS6_100dbar
14,59.456,-46.532,250,2020-07-04 00:00:00,2022-09-07 00:00:00,204669_LS6_250dbar
15,59.456,-46.532,750,2020-07-04 00:00:00,2022-09-07 00:00:00,204670_LS6_750dbar
16,59.456,-46.532,1400,2020-07-04 00:00:00,2022-09-07 00:00:00,204685_LS6_1400dbar
17,59.54,-46.321,100,2020-07-05 00:00:00,2022-09-05 00:00:00,204683_LS5_100dbar
18,59.54,-46.321,250,2020-07-05 00:00:00,2022-09-05 00:00:00,204677_LS5_250dbar
19,59.54,-46.321,500,2020-07-05 00:00:00,2022-09-05 00:00:00,204673_LS5_500dbar
20,59.54,-46.321,1000,2020-07-05 00:00:00,2022-09-05 00:00:00,204674_LS5_1000dbar
21,59.622,-46.143,250,2020-07-06 00:00:00,2022-09-04 00:00:00,204681_LS4_250dbar
22,59.689,-45.971,100,2020-07-06 00:00:00,2022-09-14 00:00:00,204684_LS3_100dbar
23,59.793,-45.72,100,2020-07-08 00:00:00,2022-09-14 00:00:00,204682_LS1_100dbar
24,60.07,-42.825,100,2020-07-15 00:00:00,2022-08-25 00:00:00,204361_CF1_100dbar
25,60.031,-42.428,100,2020-07-15 00:00:00,2022-08-25 00:00:00,204375_CF3_100dbar
26,60.006,-42.205,100,2020-07-16 00:00:00,2022-08-25 00:00:00,204374_CF4_100dbar
27,59.986,-42.026,100,2020-07-17 00:00:00,2022-08-31 00:00:00,204376_CF5_100dbar
28,59.986,-42.026,250,2020-07-17 00:00:00,2022-08-31 00:00:00,204372_CF5_250dbar
29,59.986,-42.026,500,2020-07-17 00:00:00,2022-08-31 00:00:00,204370_CF5_500dbar
30,59.986,-42.026,1000,2020-07-17 00:00:00,2022-08-31 00:00:00,204366_CF5_1000dbar
31,59.956,-41.743,100,2020-07-18 00:00:00,2022-08-31 00:00:00,204360_CF6_100dbar
32,59.956,-41.743,250,2020-07-18 00:00:00,2022-08-31 00:00:00,204383_CF6_250dbar
33,59.956,-41.743,750,2020-07-18 00:00:00,2022-08-31 00:00:00,204367_CF6_750dbar
34,59.956,-41.743,750,2020-07-18 00:00:00,2022-08-31 00:00:00,204363_CF6_750dbar
35,59.925,-41.436,100,2020-07-12 00:00:00,2022-09-01 00:00:00,204365_CF7_100dbar
36,59.925,-41.436,500,2020-07-12 00:00:00,2022-12-31 00:00:00,204364_CF7_500dbar
