serial_number,deploy_cruise_id,osnap_id,station,LATITUDE,LONGITUDE,DEPTH,logger_type,deploy_date,deploy_ship,deploy_caldip_cast,recovery_cruise_id,recovery_date,recovery_ship,recovery_caldip_cast,microcat_filename,post_deployment_cast,pre_recovery_cast,notes
204333,AM2001,OSNAP-24,C1_b,52.685,-51.9634,240,rbr,2020-07-26,Amundsen,AM2001_012,AT48-05,,Atlantis,,Missing,,,
204330,AM2001,OSNAP-24,C2_b,52.747,-51.7108,40,rbr,2020-07-25,Amundsen,AM2001_012,AT48-05,,Atlantis,,Missing,,,
204331,AM2001,OSNAP-24,C3_b,52.8132,-51.584,140,rbr,2020-07-23,Amundsen,AM2001_012,AT48-05,,Atlantis,,Missing,,,
204332,AM2001,OSNAP-24,C3_b,52.8132,-51.584,440,rbr,2020-07-23,Amundsen,AM2001_012,AT48-05,,Atlantis,,Missing,,,
204334,AM2001,OSNAP-24,C3_b,52.8132,-51.584,980,rbr,2020-07-23,Amundsen,AM2001_012,AT48-05,,Atlantis,,Missing,,,
204680,AR45,OSNAP-22,LS8,59.106,-47.333,100,rbr,2020-06-23,Armstrong,ar45_001,AR69-03,2022-09-11,Armstrong,ar69-03_123,LS8_MCTD_2020_14632_100m,1,,
204675,AR45,OSNAP-22,LS8,59.106,-47.333,1000,rbr,2020-06-23,Armstrong,ar45_001,AR69-03,2022-09-11,Armstrong,ar69-03_123,LS8_MCTD_2020_11519_1000m,1,,
204679,AR45,OSNAP-22,LS8,59.106,-47.333,1400,rbr,2020-06-23,Armstrong,ar45_001,AR69-03,2022-09-11,Armstrong,ar69-03_123,LS8_MCTD_2020_16805_1400m,1,,
204678,AR45,OSNAP-22,LS8,59.106,-47.333,2500,rbr,2020-06-23,Armstrong,ar45_001,AR69-03,2022-09-11,Armstrong,ar69-03_123,LS8_MCTD_2020_16783_2500m,1,,
204671,AR45,OSNAP-22,LS7,59.312,-46.875,100,rbr,2020-07-02,Armstrong,ar45_001,AR69-03,2022-09-09,Armstrong,ar69-03_117,LS7_MCTD_2020_7583_100m,3,,lots of growth on sensor
204687,AR45,OSNAP-22,LS7,59.312,-46.875,500,rbr,2020-07-02,Armstrong,ar45_001,AR69-03,2022-09-09,Armstrong,ar69-03_117,LS7_MCTD_2020_14602_500m,3,,
204686,AR45,OSNAP-22,LS7,59.312,-46.875,1000,rbr,2020-07-02,Armstrong,ar45_001,AR69-03,2022-09-09,Armstrong,ar69-03_117,LS7_MCTD_2020_11521_1000m,3,,
204676,AR45,OSNAP-22,LS7,59.312,-46.875,2000,rbr,2020-07-02,Armstrong,ar45_001,AR69-03,2022-09-09,Armstrong,ar69-03_117,LS7_MCTD_2020_11520_2000m,3,,
204672,AR45,OSNAP-22,LS6,59.456,-46.532,100,rbr,2020-07-04,Armstrong,ar45_001,AR69-03,2022-09-07,Armstrong,ar69-03_106,LS6_MCTD_2020_14631_100m,6,,
204669,AR45,OSNAP-22,LS6,59.456,-46.532,250,rbr,2020-07-04,Armstrong,ar45_001,AR69-03,2022-09-07,Armstrong,ar69-03_106,LS6_MCTD_2020_11524_250m,6,,
204670,AR45,OSNAP-22,LS6,59.456,-46.532,750,rbr,2020-07-04,Armstrong,ar45_001,AR69-03,2022-09-07,Armstrong,ar69-03_106,LS6_MCTD_2020_11522_750m,6,,
204685,AR45,OSNAP-22,LS6,59.456,-46.532,1400,rbr,2020-07-04,Armstrong,ar45_001,AR69-03,2022-09-07,Armstrong,ar69-03_106,LS6_MCTD_2020_14594_1400m,6,,
204683,AR45,OSNAP-22,LS5,59.54,-46.321,100,rbr,2020-07-05,Armstrong,ar45_001,AR69-03,2022-09-05,Armstrong,ar69-03_92,LS5_MCTD_2020_7582_100m,8,,pink residue in battery cap
204677,AR45,OSNAP-22,LS5,59.54,-46.321,250,rbr,2020-07-05,Armstrong,ar45_002,AR69-03,2022-09-05,Armstrong,ar69-03_92,LS5_MCTD_2020_14614_250m,8,,
204673,AR45,OSNAP-22,LS5,59.54,-46.321,500,rbr,2020-07-05,Armstrong,ar45_002,AR69-03,2022-09-05,Armstrong,ar69-03_92,LS5_MCTD_2020_14613_500m,8,,
204674,AR45,OSNAP-22,LS5,59.54,-46.321,1000,rbr,2020-07-05,Armstrong,ar45_002,AR69-03,2022-09-05,Armstrong,ar69-03_92,LS5_MCTD_2020_14609_1000m,8,,
204681,AR45,OSNAP-22,LS4,59.622,-46.143,250,rbr,2020-07-06,Armstrong,ar45_002,AR69-03,2022-09-04,Armstrong,ar69-03_91,LS4_MCTD_2020_14607_250m,12,,
204684,AR45,OSNAP-22,LS3,59.689,-45.971,100,rbr,2020-07-06,Armstrong,ar45_002,AR69-03,2022-09-14,Armstrong,ar69-03_133,LS3_MCTD_2020_14717_100m,27,,"very fuzzy, data look ""funky""  since July 22"
204682,AR45,OSNAP-22,LS1,59.793,-45.72,100,rbr,2020-07-08,Armstrong,ar45_002,AR69-03,2022-09-14,Armstrong,ar69-03_133,LS1_MCTD_2020_14713_100m,22,,a little fuzzy
204361,AR45,OSNAP-22,CF1,60.07,-42.825,100,rbr,2020-07-15,Armstrong,ar45_002,AR69-03,2022-08-25,Armstrong,ar69-03_038,CF1_MCTD_2020_16819_100m,96 & 100,,
204375,AR45,OSNAP-22,CF3,60.031,-42.428,100,rbr,2020-07-15,Armstrong,ar45_002,AR69-03,2022-08-25,Armstrong,ar69-03_038,CF3_MCTD_2020_21791_100m,94 & 107,,
204374,AR45,OSNAP-22,CF4,60.006,-42.205,100,rbr,2020-07-16,Armstrong,ar45_002,AR69-03,2022-08-25,Armstrong,ar69-03_038,CF4_MCTD_2020_11572_100m,110,,
204376,AR45,OSNAP-22,CF5,59.986,-42.026,100,rbr,2020-07-17,Armstrong,ar45_002,AR69-03,2022-08-31,Armstrong,ar69-03_078,CF5_MCTD_2020_22224_100m,92,,"(also ar69-03_070, but didn't work)"
204372,AR45,OSNAP-22,CF5,59.986,-42.026,250,rbr,2020-07-17,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF5_MCTD_2020_22168_250m,92,,
204370,AR45,OSNAP-22,CF5,59.986,-42.026,500,rbr,2020-07-17,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF5_MCTD_2020_22226_500m,92,,
204366,AR45,OSNAP-22,CF5,59.986,-42.026,1000,rbr,2020-07-17,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF5_MCTD_2020_22163_1000m,92,,
204360,AR45,OSNAP-22,CF6,59.956,-41.743,100,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22201_100m,89,,
204383,AR45,OSNAP-22,CF6,59.956,-41.743,250,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22164_250m,89,,
204367,AR45,OSNAP-22,CF6,59.956,-41.743,750,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22129_750m,89,,
204363,AR45,OSNAP-22,CF6,59.956,-41.743,750,rbr,2020-07-18,Armstrong,ar45_001,AR69-03,2022-08-31,Armstrong,ar69-03_070,CF6_MCTD_2020_22129_750m,89,,
204365,AR45,OSNAP-22,CF7,59.925,-41.436,100,rbr,2020-07-12,Armstrong,ar45_001,AR69-03,2022-09-01,Armstrong,ar69-03_078,CF7_MCTD_2020_22227_100m,86,,"(also ar69-03_038, but didn't work)"
204364,AR45,OSNAP-22,CF7,59.925,-41.436,500,rbr,2020-07-12,Armstrong,ar45_002,AR69-03,,Armstrong,n/a,Missing,86,,
204359,AR45,OSNAP-22,CF7,59.925,-41.436,1000,rbr,2020-07-12,Armstrong,ar45_002,AR69-03,2022-09-01,Armstrong,ar69-03_078,CF7_MCTD_2020_22170_1000m,86,,
204368,AR46,OSNAP-26,M1,59.903,-41.11,50,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_50m,12,17,
204369,AR46,OSNAP-26,M1,59.903,-41.11,500,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_500m,12,17,
204362,AR46,OSNAP-26,M1,59.903,-41.11,1000,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_1000m,12,17,
204378,AR46,OSNAP-26,M1,59.903,-41.11,1750,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_1750m,12,17,
204371,AR46,OSNAP-26,M1,59.903,-41.11,2025,rbr,2020-08-23,Armstrong,ar46_004,AR69-01,2022-07-05,Armstrong,ar69-01_018,M1_OS_OSNAP-WHOI_M1_202008_MCTD_2046m,12,17,
204373,AR46,OSNAP-26,M2,59.861,-40.687,1500,rbr,2020-08-22,Armstrong,ar46_004,AR69-01,2022-07-08,Armstrong,ar69-01_021,M2_OS_OSNAP-WHOI_M2_202008_MCTD_1500m,11,11,
